,call_sign,ID,coef,d/n,max_speed,max_dir,avg_speed,avg_dir,month
27404,14737KABE,ABE2001122316292129,0.071,D,177.0,3.0,167.0,3.0,12
27405,14737KABE,ABE2001122316302130,0.07,D,171.0,3.0,164.0,4.0,12
27406,14737KABE,ABE2001122316312131,0.069,D,166.0,4.0,162.0,5.0,12
27407,14737KABE,ABE2001122316322132,0.07,D,162.0,5.0,156.0,5.0,12
27408,14737KABE,ABE2001122316332133,0.07,N,158.0,5.0,157.0,5.0,12
27409,14737KABE,ABE2001122316342134,0.07,N,152.0,5.0,153.0,5.0,12
27410,14737KABE,ABE2001122316352135,0.07,N,151.0,5.0,157.0,5.0,12
27411,14737KABE,ABE2001122316362136,0.069,N,145.0,4.0,128.0,4.0,12
27412,14737KABE,ABE2001122316372137,0.068,N,131.0,3.0,110.0,3.0,12
27413,14737KABE,ABE2001122316382138,0.068,N,118.0,3.0,106.0,3.0,12
27414,14737KABE,ABE2001122316392139,0.068,N,110.0,3.0,102.0,3.0,12
27415,14737KABE,ABE2001122316402140,0.069,N,119.0,3.0,118.0,4.0,12
27416,14737KABE,ABE2001122316412141,0.068,N,133.0,3.0,132.0,4.0,12
27417,14737KABE,ABE2001122316422142,0.069,N,141.0,3.0,137.0,4.0,12
27418,14737KABE,ABE2001122316432143,0.07200000000000001,N,149.0,4.0,173.0,5.0,12
27419,14737KABE,ABE2001122316442144,0.071,N,164.0,4.0,168.0,5.0,12
27420,14737KABE,ABE2001122316452145,0.07,N,172.0,5.0,172.0,5.0,12
27421,14737KABE,ABE2001122316462146,0.069,N,170.0,5.0,173.0,6.0,12
27422,14737KABE,ABE2001122316472147,0.07,N,173.0,5.0,182.0,5.0,12
27423,14737KABE,ABE2001122316482148,0.069,N,184.0,5.0,192.0,5.0,12
27424,14737KABE,ABE2001122316492149,0.069,N,190.0,5.0,195.0,5.0,12
27425,14737KABE,ABE2001122316502150,0.069,N,193.0,5.0,195.0,5.0,12
27426,14737KABE,ABE2001122316512151,0.067,N,194.0,5.0,193.0,6.0,12
27427,14737KABE,ABE2001122316522152,0.069,N,192.0,5.0,192.0,6.0,12
27428,14737KABE,ABE2001122316532153,0.07,N,188.0,6.0,188.0,6.0,12
27429,14737KABE,ABE2001122316542154,0.07,N,180.0,5.0,176.0,6.0,12
27430,14737KABE,ABE2001122316552155,0.07,N,174.0,5.0,162.0,5.0,12
27431,14737KABE,ABE2001122316562156,0.07,N,167.0,5.0,178.0,6.0,12
27432,14737KABE,ABE2001122316572157,0.069,N,162.0,5.0,152.0,6.0,12
27433,14737KABE,ABE2001122316582158,0.069,N,157.0,5.0,168.0,6.0,12
27434,14737KABE,ABE2001122316592159,0.067,N,145.0,5.0,135.0,5.0,12
27435,14737KABE,ABE2001122317002200,0.066,N,142.0,4.0,155.0,5.0,12
27436,14737KABE,ABE2001122317012201,0.065,N,154.0,5.0,159.0,5.0,12
27437,14737KABE,ABE2001122317022202,0.067,N,161.0,5.0,167.0,5.0,12
27438,14737KABE,ABE2001122317032203,0.068,N,163.0,4.0,145.0,5.0,12
